Requirement Text,Type
"The TCS shall provide the capability to compute the range and bearing between two geographic positions
on the map display.",FR
"The TCS shall have the capability to import as well as create and modify map display overlays for fire support coordination measures [SSS547], airspace control measures [SSS548], and threat identification measures. [SSS060]
",FR
"The TCS shall allow the operator to enter as well as review mission plan parameters, including AV flight parameters, payload control parameters, data link control parameters, AV VCR control parameters (if
applicable to the selected AV), and AV loiter patterns. [SSS068]",FR
The TCS shall provide the system functionality necessary to upload a flight route plan and payload plan (if applicable) to the AV via the selected system data link as well as direct ground connection.,FR
"TCS shall provide the capability for the operator to retrieve a mission plan for viewing, modification, as well as deletion at the operator's discretion [SSS071], and allow the operator to save the mission plan under a different name, for future retrieval",FR
The TCS shall notify the operator of all discrepancies found during the mission plan check as well as indicate successful completion of the mission plan check.,FR
"The TCS shall provide the capability to override validation faults after the fault is acknowledged by the
operator. ",FR
The TCS shall allow the operator to set the LOL delay timer(s) during mission planning.,FR
"The Flight Route Plan, as a minimum, shall include AV flight path information, Loss of Link plan, AV VCR control tasking (if applicable to the selected AV), and data link control information.",FR
The TCS shall allow the operator to define the desired AV route in waypoint format,FR
The TCS shall provide the capability to enter waypoint data in alphanumeric format.,FR
The TCS shall present to the operator the estimated time of arrival and fuel status at each programmed waypoint of the proposed mission plan.,FR
"At every waypoint and every 5 minutes, the TCS shall compute the AV's flight range based on remaining fuel.",FR
"The TCS shall provide the capability to modify the maximum number of threats displayed, when de-clutter is selected.",FR
A de-clutter capability shall be provided that allows the operator to display only a selected number of the most significant threats.,FR
The TCS shall provide the capability to display waypoint data in alphanumeric format.,FR
"The TCS shall have the capability to load a map onto the display, to zoom in and out, to scroll, to print, and to clear a map on the map display.",FR
The TCS shall provide the operator with a clearly indicated map scale.,FR
The TCS shall be able to generate payload planning information to be uplinked to the AV separate from a flight route plan,FR
"The TCS shall provide the system functionality necessary to generate a payload plan that, as a minimum, shall include the following information:",FR
"The TCS will have the capability to control and monitor an AV, payload, data link, and C4I interfaces during the execution of a mission.
",FR
"While flying two MAE AVs Beyond Line Of Sight (BLOS), the TCS shall provide full control functionality of each AV. ",FR
The TCS shall transmit command and control information to the AV via the uplink to the AV,FR
"The TCS shall be capable of being interoperable with Predator and Outrider UAVs across the 5 levels of
UAV interaction.",FR
The TCS shall have the capability to control and monitor multiple types of AVs.,FR
TCS shall notify the operator when AV performance parameters are out of limits.,FR
The TCS shall provide the capability to pass control of an AV to another TCS,FR
The TCS shall provide the capability to control the AV flight commands as well as to release the AV to an autonomous flight control mode.,FR
AV telemetry data shall be available to support other TCS functions as required.,FR
The TCS shall provide the capability to control the flight of the selected AV in accordance with the specific AV's operational performance capabilities.,FR
The TCS shall provide the capability to fully control and display the AV's Identification Friend or Foe (IFF).,FR
"The TCS shall provide the capability to enter AV preset limits which, as a minimum, will include airspeed limits, altitude limits, and fuel limits.",FR
The TCS shall allow the operator to control an AV using the LOS as well as SATCOM data links.,FR
The TCS shall provide the necessary system capabilities required for AV flight control BLOS via uplink command to two MAE air vehicles.,FR
"The TCS shall support operation of the AV via all flight modes, to include manual controls.",FR
"The TCS shall provide the capability to implement an emergency action plan, if supported by the AV, to control the AV during equipment failures.",FR
The TCS shall provide interactive displays necessary to command the flight of an AV.,FR
The TCS shall allow the operator to command the flight behavior characteristics inherent to the selected AV.,FR
"The operator shall have the capability to initiate as well as change, to include as a minimum manual override, flight behaviors by sending the proper control commands to the UAV.",FR
The TCS shall have the capability to command the AV to use the navigation methods inherent to the selected AV.,FR
"The operator shall have the capability to initiate as well as change, to include as a minimum manual override, UAV navigation methods by sending the proper control commands to the UAV. ",FR
"The TCS shall provide the functionality to control, monitor, and display the operation of the Air Data Terminal (ADT).",FR
The TCS shall provide the functionality to control the ADT antenna.,FR
"The TCS shall provide the functionality to control the power, transmitter signal strength, and frequencies used by ADT for data link communication.",FR
"As an objective, the TCS shall support an automatic launch and recovery system.",NFR
"As and objective, the TCS shall be interoperable with the Integrity Beacon Landing System (IBLS)",NFR
"TCS shall provide the capability to monitor specific telemetry elements real-time, and record all telemetry elements for future review and processing.",NFR
"The TCS shall display the AV status, to include but not be limited to the AV location and flight and avionics system status.",FR
"When the data link is interrupted, the TCS shall present the last known AV status values and the time at which the last values were reported. ",FR
"The TCS shall be capable of displaying fuel parameters to the operator to include as a minimum, remaining fuel, flow rate, and bingo fuel.",FR
"The TCS shall compute the estimated position of the AV during Loss of Link (LOL) based upon the last known AV position and anticipated flight path based on current flight mode (e.g. flight route plan mode, emergency flight route plan mode, maintain current heading mode).",FR
TCS shall display a LOL timer to the operator initiating a LOL onset.,FR
The TCS shall be capable of being interoperable with the installed payloads across the 5 levels of UAV interaction.,NFR
The TCS will have the capability to control and monitor the AV payload(s).,FR
The TCS shall have the capability to receive data from and control payloads on an AV that is being controlled from another TCS.,FR
The TCS shall provide the necessary system capabilities required for payload control beyond line of sight via uplink command of two air vehicles of the same type using sequential communication techniques.,NFR
"The TCS shall receive, process, and present payload data to the operator so that the status of the payload can be determined.",NFR
The TCS shall permit the operator to control the payload using all methods supported by the payload installed in the selected AV,NFR
The TCS shall provide a graphical user interface display for the purpose of controlling the payload,FR
The TCS shall provide override of payload automated as well as preprogrammed inputs.,FR
TCS shall provide the capability to monitor payload adherence to the uplinked mission plan.,FR
The TCS shall display the current search footprint and the search history of the payload on the map.,FR
The TCS shall have the capability to simultaneously control and monitor a line-of-sight as well as a BLOS data terminal.,FR
"The TCS shall be capable of interfacing with the specified data terminal and issuing data link terminal commands required to establish, control, and maintain the data link with a selected AV.",FR
"Data terminal control shall include, but is not limited to, antenna pointing control, transmitter control, and receiver control.",FR
The TCS shall be capable of automatically selecting the proper mode of operation for the selected data terminal.,FR
" As a minimum the TCS LOS data terminal control modes shall include acquisition, autotrack, search,manual point, omni directional, as well as directional modes of operation, if applicable to the selected data link.",FR
"The operator shall be able to manually override any automatic data terminal control mode selection if desired, except during Emission Control (EMCON) and Hazards ofelectromagnetic Radiation to Ordnance (HERO) conditions.",FR
The TCS shall support a LOS data link and SATCOM data link capability,FR
"For shipboard operations, the TCS shall provide the capability to switch to a second LOS antenna, if a second antenna is available, when desired.",FR
"The TCS shall provide an interactive display for the purpose of controlling the data link terminal.
",FR
The TCS will interface with external systems to conduct mission coordination and operations.,FR
The system shall remotely monitor the status and operational changes of wind power plant and network devices.,FR
"The system should be able to handle parameter changes in three ways: single parameter, subset of settings, and pre-defined parameter set switching.",FR
"The system shall manage the entire software lifecycle, including version control, download, activation, and retrieval.",FR
The system shall deliver data from its originator to its destination with an acceptable residual error rate to ensure non-corruption of transferred data.,NFR
"The system shall encrypt data items to prevent unauthorized access, tampering, and eavesdropping.",NFR
"The system shall be able to retransmit, reconstruct, or reprocess data to ensure its reliability in case of loss or inaccessibility.",NFR
The APAF system shall acquire from ESOC the telemetry data of the ASPERA-3 Experiment and Mars Express Orbit/Attitude.,FR
The APAF system shall process all ASPERA-3 science data into IDFS data sets. ,FR
"The APAF system shall process the engineering and ancillary information necessary for calibration and science validation
into IDFS data sets.",FR
Intermediate files of cleaned-up ASPERA-3 and MEX OA telemetry shall be generated in the event that cleaned-up telemetry is not provided by ESOC.,FR
The ASPERA-3 and MEX OA telemetry data shall be stored on a local SwRI archive.,FR
The ASPERA-3 and MEX OA IDFS data sets shall be stored on a local SwRI archive,FR
Any APAF-generated intermediate files of ASPERA-3 and MEX OA cleaned-up telemetry shall be stored on a local SwRI archive.,FR
Web-based displays of the most current ASPERA-3 data shall be provided for public view.,FR
Web-based displays defined by the ASPERA-3 team shall be provided where any available ASPERA-3 data (as opposed to just the most current) can be used for science analysis.,FR
The web-based displays defined by the ASPERA-3 team to be used for science analysis shall be password protected until the ASPERA-3 data is made public.,FR
The APAF ground data system shall have built-in error handling.,NFR
ASPERA-3 and MEX OA IDFS data and any APAF-generated intermediate files of ASPERA-3 and MEX OA cleaned-up telemetry shall be provided to all ASPERA-3 Co-Is.,FR
IDFS data access software developed by SwRI shall be made available to the ASPERA-3 Co-Is.,FR
Science analysis software developed by SwRI to analyze IDFS-formatted data shall be made available to the ASPERA-3 Co-Is.,FR
The APAF system web server shall be password protected where appropriate to allow only pertinent ASPERA-3 team members access. ,NFR
There shall be a UNIX-based APAF system development computer. ,NFR
There shall be a UNIX-based APAF system production computer with an archival system. ,NFR
There shall be a web server for the APAF system,NFR
There shall be a network connection between SwRI and NISN. ,NFR
SwRI shall provide APAF system maintenance.,NFR
SwRI shall provide software support for the APAF system.,NFR
"Science analysis software shall be integrated into the NASA approved data repository. 
",NFR
ASPERA-3 data shall be provided to NASA PDS no later than 6 months after acquisition.,NFR
"Program will have a simple, graphically appealing interface designed for sixth graders.",NFR
Software will run on most computers since it only requires Macromedia Flash and HTML.,NFR
"The system shall utilize a web browser compatible with the Flash plug-in (requirements in ""Playback"" section).",NFR
The system shall be able to present an introductory cinematic to establish the game's narrative and provide in-game tutorials to aid users in solving fraction problems.,FR
The user shall be able to terminate the introductory movie and return to the main menu by clicking the mouse.,FR
"The system shall offer a menu with in-game help, a link to play the game, and a link to the Denominators' web page.",FR
The user shall be able to initiate the game by clicking a button or learn more by following a link to the Denominators' web page.,FR
The user shall be able to select a button to proceed either to the game sequence component or the Denominators' web page.,FR
The system shall be able to generate a series of multiple-choice fraction questions that form a cohesive storyline to introduce a specific topic.,FR
The user will respond to questions by clicking on the desired answer from a set of choices,FR
The user shall be able to end the game or return to the main menu by clicking with the mouse.,FR
The user shall be able to choose between returning to the main menu or exiting the game.,FR
The user shall be able to see their overall score and a plot conclusion to their answers to key story questions.,FR
"The user shall input new data through pulldown menus and text fields, navigating between pages with separate questions by clicking a button.",FR
The user will follow a number of links to World Wide Web documents.,FR
The product will be as secure as the web browser that will run the product.,NFR
The product will be available over the Internet via the S2S website.,NFR
"Reliability will be ensured by extensive testing by the team members and mentors, if available. 
",NFR
"The system shall be maintainable through modular code structure, allowing for easy future modifications by separating functionalities into subscenes within the main Flash game.",NFR
The BE system shall be able to monitor and acknowledge receipt of all data received from the Monitor and Control System (M&C).,FR
The BE system shall be able to detect and report interruptions of data delivery from the Correlator to M&C.,FR
The BE system shall verify successful delivery of output to the e2e,FR
The BE system shall be able to ensure the secure delivery of all internal messages.,FR
"The BE shall be able to handle lag sets up to a maximum size of 262,144 values",NFR
The BE system shall be able to receive data packets from the Correlator on the Backend network interface.,FR
The BE shall verify the successful receipt of incoming data from the Correlator.,FR
The BE shall store input data records in a memory buffer and track buffer locations of all input data until data processing is complete.,FR
"The BE shall respond to incoming correlator mode changes, user optional processing sequence and/or parameter changes, and other external inputs that affect the data processing pipeline.",FR
"The system shall be able to validate and monitor time series data for correct order, valid values, and out-of-tolerance conditions.",FR
The BE shall replace all invalid data with zero values.,FR
The BE shall be able to apply normalizations based on reported data invalid counts. ,FR
The BE shall be able to apply corrections based on state count and/or quantizer power measurement data. ,FR
The BE shall be able to make time stamp adjustments as required by the observational mode and correlator output parameters.,FR
The BE shall be able to perform Fourier Transform the lag set time series. ,FR
The BE shall be able to apply user selected frequency domain processes.,FR
The BE shall combine the finished spectra with meta and auxiliary data to form suitably formatted output data sets.,FR
The BE shall send output data to the e2e System.,FR
"The BE shall verify that all sent data was successfully
received. Report all errors. ",FR
"The system shall be able to monitor the overall data processing rate, compare it to tolerances, and report any deviations from those tolerances.",NFR
"The BE shall trap, flag and repair infs, NaNs, underflows, overflows and other computation errors.",NFR
The BE shall periodically or upon request check PIDs and assure that all started tasks are alive and running.,NFR
The BE shall periodically or upon request check Backend physical processors and assure that all needed processors are alive and responding,NFR
The BE shall periodically or upon request check all Backend internal networks and assure that all communication connections are intact and functioning,NFR
The BE shall be able to initiate a processing task on any Backend processor. ,FR
The BE shall be able to signal a kill for any Backend process. ,FR
The BE shall be able to alter the priority of any of the BE tasks,FR
The BE shall be able to initiate a reboot of any Backend a physical processor. ,FR
The BE shall be able to initiate a reboot of any internal network.,FR
The BE shall be able to redistribute internal workload among its processors. ,FR
"The system shall be able to fully reconstruct the raw, original input data from the processed output.",NFR
The system shall maintain a memory buffer to store lag frames and track the status of each record in the buffer.,FR
The system shall utilize a memory buffer with backup disk storage to store all processed spectra.,FR
"The system shall manage names, positions in sequence, and adjustable parameters for all processing pipeline applications.",FR
"The system shall generate warning reports including warning number, source, rates (if applicable), and time stamp.",FR
"The system shall produce failure reports indicating internal system component failures, including error number and time stamp.",FR
"The system shall provide status reports on the functional state of internal system components such as processes, processors, and networks.",FR
"The Backend System shall ensure input data fidelity and dynamic range integrity across all processing, manipulation, and I/O functions.",NFR
The system shall be capable of flagging and marking corrupted data segments and proceeding without interruption or effect on other data. ,NFR
The BE System shall be capable of accepting an aggregate data input stream from the Correlator of a minimum of 1.6 Gbytes/sec.,NFR
The BE System shall be capable of delivering an output data stream to the e2e System of a minimum of 25 MBytes/sec,NFR
The total processor capability of the BE System shall be sufficient to accomplish all processing tasks while avoiding loss or delay on the input and output data streams.,NFR
The BE System shall have sufficient (amount TBD) memory with sufficient (rate TBD) access speeds to accomplish all processing tasks while avoiding loss or delay on the input and output data streams,NFR
"All math/science application software shall take optimal advantage of all language, compiler, and system computational features and resources to reduce run times to the minimum practical level.",NFR
"All management software functions shall take optimal advantage of all language, compiler and system features and resources to reduce overheads to the minimum practical level.",NFR
"All input and output, and storage and retrieval operations shall take optimal advantage of all system resources to reduce overhead and latency to the minimal practical level. ",NFR
All data processing functions shall be chainable (outputs pipeable to inputs) and repeatable in the processing pipeline in cases where this makes computational sense. ,NFR
"The system shall use industry-standard, commonly available, and widely used operating system, message passing middleware, and programming languages.",NFR
"The system shall be able to self-monitor and automatically take actions to address various issues including hardware failures, software crashes, performance degradation, errors, and communication disruptions.",NFR
The software part of the system shall be able to perform without total system restart due to internal failure between array maintenance windows.,NFR
"The hardware part of the system shall be able to perform indefinitely without complete loss of service, except in the event of total failure of primary and backup power. ",NFR
The system shall be capable of responding in a loss-less manner to I/O and processing changes arising from Correlator mode changes.,NFR
The system shall continue to operate in a loss-less manner in the event of a temporary (time duration TBD) loss of availability of the e2e System. ,NFR
"The system shall be able to complete processing of all onboard data, deliver the results to the End-to-End System and maintain availability for immediate resumption of operations once Correlator access is restored.",NFR
"All system processing and interconnect hardware shall be readily accessible for maintenance, repair, replacement and/or reconfiguration",NFR
All systems and application source code shall be available to or on the systems that execute it.,NFR
Software tools and pre-built applications that do not have source code available shall come with a complete diagnostic package and customer support. ,NFR
Operating system software shall either have source code available or come with sufficient diagnostics and customer support.,NFR
"I/O, communications, and processing hardware shall be easily expandable, reconfigureable, augmentable and replaceable to meet increasing data transfer and processing demands imposed by EVLA science, Correlator changes, and availability of new hardware.",NFR
"Above, shall be accomplished in manner that is transparent to processing, communications and I/O software functions with the possible exception of recompilation of executables. ",NFR
The system shall be able to operate seamlessly at its interfaces with hardware modules and software functionality.,NFR
The Backend system shall ultimately be scaleable to an extent that it will be capable of handling up to two Gbytes per second per Correlator output channel in real-time.,NFR
All users of the system shall login using some form of unique identification.,NFR
A system administrator shall have unrestricted access to all aspects of the system.,NFR
Each user shall have a set of system access properties that defines the user's privileges within the system. ,NFR
The administrator shall have the ability to create and add a new user to the system. ,NFR
The administrator shall have the ability to remove a user from the system.,NFR
The administrator shall have the ability to edit a user's system access properties.,NFR
The administrator shall have the ability to block all access to the system for all users or selectively by user. ,NFR
The system shall be able to handle non-real-time operations in a transparent fashion.,NFR
Modular design principles shall be employed to the maximum extent possible,NFR
Complete and comprehensible hardware systems  specifications and configuration information shall be readily available,NFR
Software system and application code shall be well documented and written in a generally familiar language or languages (preferably not more than two).,NFR
"Wherever applicable, all computers and peripherals shall be powered though UPS type devices with sufficient capacity for the computers to safely coordinate a system wide shutdown of the correlator hardware in the event of a prolonged power outage",NFR
"All computers within the CMCS system shall have the ability for authorized users to directly access individual systems for maintenance and monitoring through remote logins.
",NFR
Each computer system in the CMCS shall have a hardware based watchdog timer configured to reboot the system in the case of a system hang.,NFR
The CMIB shall conform to both electrical and physical PC104+ standards,NFR
"The CMIB shall be able to function as a real-time computer with at least 64MB of RAM, storage, various ports, and network connectivity.",NFR
"The system shall support real-time correlator operations, hardware monitoring/control, and PLD/FPGA personality updates over the network.",NFR
"The MCCC shall be a high availability type generalpurpose computer capable of supporting multiple Ethernet interfaces, COTS operating systems, and support server/host services for the CMIB operating system.",NFR
The MCCC shall have all required disk and file system facilities installed locally such that the system can boot and run in a stand-alone configuration.,NFR
"The CPCC shall be able to function as a high availability computer for real-time correlator operations, hardware monitoring/control, and remote PLD/FPGA updates.",NFR
The CPCC shall have all required disk and file system facilities installed locally such that the system can boot and run in a stand-alone configuration. ,NFR
"The CMCS processors shall be capable of responding to correlator hardware inputs (interrupts) in a deterministic fashion with sufficient performance to avoid data loss, corruption or overflows.
",NFR
"The system shall function as a high availability computer for real-time tasks including correlation, hardware management, and remote updates.",NFR
"All system error and debug messages shall be categorized in a logical fashion such that message traffic can be filtered as to content, detail, and message rate.",NFR
All messages passed between CMCS system layers shall have both UTC and wall clock time stamp information appropriate for the message type.,NFR
"Software shall be provided that allows an authorized user full access to all messaging, monitor, and control traffic throughout the CMCS.",NFR
"The CMCS shall autonomously monitor and respond to hardware issues, software crashes, resource limitations, errors, and communication failures.",NFR
"The software part of the system shall be able to perform without total system restart due to internal failure between system maintenance windows.
",NFR
The system shall be able to continue processing of all correlator configuration/control events until the queues of parameters are exhausted and external communications are restored,NFR
The system shall be able to sit at idle and resume operations with minimal (amount TBD) delay.,NFR
"All system processing and interconnect hardware shall be readily accessible for maintenance, repair, replacement and/or reconfiguration. ",NFR
All systems and application source code shall be available to or on the systems that execute it. ,NFR
All software modules shall be designed for easy debugging by allowing simulation of inputs and outputs.,NFR
"All software processes shall be killable, restartable, debuggable and testable with minimal impact on normal system operations. ",NFR
Software tools and pre-built applications that do not have source code available shall come with a complete diagnostic package and customer support.,NFR
Operating System software shall either have source code available or come with sufficient diagnostics and customer support.,NFR
"I/O, communications, and processing hardware shall be easily expandable, reconfigurable, augmentable and replaceable to meet increasing data traffic and processing demands imposed by EVLA science, Correlator changes, and availability of new hardware.
",NFR
"Transparency shall be accomplished in manner that is transparent to processing, communications and I/O software functions with the possible exception of recompilation of executables. ",NFR
"Seamlessness shall be accomplished in a manner that is seamless, in that it does not affect hardware modules or software functionality that it meets at interfaces. ",NFR
"All users of the system shall login using some form of unique identification. (e.g., username and password)",NFR
Each user shall have a set of system access properties that defines the users privileges within the system. ,NFR
"The administrator shall have the ability to create and add a new user to the system.
",NFR
"The administrator shall have the ability to edit a users system access properties.
",NFR
"The administrator shall have the ability to block all access to the system for all users or selectively by user. 
",NFR
The system shall utilize a modular design with hot-swappable components for maximum repairability and uptime.,NFR
The system shall provide complete and understandable hardware specifications and configuration details.,NFR
Software Coding Practices software system and application code shall be well documented and written in a generally familiar language or languages.,NFR
The system shall allow agents to broadcast messages to all other agents on the same local network.,FR
The system shall allow agents to multicast messages to all other agents subscribed to the same multicast address.,FR
The system shall allow agents to send targeted messages (unicast) to specific agents within the organization.,FR
"The system shall allow agents to select between unicast, multicast, and broadcast communication.",FR
"The system shall support agent membership in multicast groups, allowing them to join and leave.",FR
The system shall support secure communication through message encryption and decryption techniques.,NFR
The system shall allow agents to optionally encrypt messages.,FR
"The system shall use a best-effort multicast/broadcast approach, where delivery of packets to all specified agents is not guaranteed.",NFR
The system shall encrypt messages but cannot guarantee confidentiality due to potential decryption by unauthorized parties.,NFR
"The system shall support multicast protocols for sending multicast messages, requiring compatible routers, network cards, and operating systems.",NFR
The system shall restrict broadcast message transmission to authorized administrators only.,NFR
The tool shall limit general users to a specific set of functionalities.,FR
"The automated diagnostic tool shall input sensed data in real time from data acquisition devices and the HVAC unit under diagnosis as well as from data files containing previously acquired data, though not simultaneously.",FR
The tool shall input sensed data in real time from data acquisition devices and the HVAC unit under diagnosis. ,FR
"The tool shall permit sensed data to be input from an electronic file, though not simultaneously with sensed data from external acquisition hardware. ",FR
"The system shall qualify the certainty of each sensed data item during acquisition, flagging doubtful data due to errors or unexpected values.",FR
The system shall identify potentially faulty sensor data based on a sensor-specific number of consecutive missed readings due to communication issues.,FR
" Sensed data used in or supporting diagnostic analyses shall be saved to permanent storage.
",FR
"The occurrence of missing data shall be indicated in permanent storage by a unique and obvious place holder or indicator, e.g., a null value or sequence of characters that cannot be confused with nonmissing data.",FR
 Sensed data input to the tool shall be stored to permanent storage with a precision of three significant figures.,FR
The administrator shall have the capability to modify the expected range of sensed data against which the data will be validated.,FR
The tool shall associate with each continuous parameter one or more tolerances each corresponding to a different sensitivity level for the tool.,FR
"Any and all errors associated with obtaining, validating, converting, or storing the sensed data shall be logged as described in subsequent specifications and selected errors shall be reported to the user.
",FR
The automated diagnostic tool shall detect and identify certain performance and operational faults in chiller and cooling tower subsystems of HVAC units following specified algorithms. ,NFR
 The tool shall be designed to permit the addition of diagnostic algorithms for other subsystems of HVAC units.,NFR
Any and all errors associated with failures of the diagnostic algorithms shall be logged as described in subsequent specifications and selected errors shall be reported to the user.,NFR
"The tool shall monitor the unit under diagnosis, either in real time or batch mode, for an indefinite period of time or until input data are no longer available, and log diagnostic results as they are determined.
",FR
"Diagnostic results that are saved to permanent storage shall be accompanied in storage by the absolute time of occurrence, the identity of the unit to which the diagnostic applies, and the identity of the diagnostic.",FR
"The administrator user shall have the capability to adjust the sensitivity of the diagnostic analysis in order to increase or decrease the probability of fault detection.
",FR
"The automated diagnostic tool shall display and record diagnostic results. Diagnostic results to be displayed to the user will be done so in a simple, graphical and textual format.",FR
"The administrator shall have the ability to specify which diagnostic results will not be reported in any manner, i.e., not detected.",FR
"The system shall recognize user selection (by mouse) across the entire width of an item, including its diagnostic indicators, in main, systems, and condition windows.",FR
The windows listing diagnostic results shall increase in height as needed to display entries up to a maximum of ten entries.,FR
"The building, subsystems, and condition windows shall display the current time if the diagnostic tool is operating in real time. ",FR
"If only a single building is defined, the subsystems window shall become the main window of the application and shall have all the functionality of the main window as described in these specifications.
",FR
"Each window of the diagnostic tool shall display an animated graphical feature indicating the status, whether active or not, of the diagnostic processing.",FR
"The subsystem window shall be modal to the building window, the condition window modal to the subsystem window, and the diagnostic history and diagnostic information windows shall be modal to the condition window.",FR
Significant errors in software operation shall be logged to permanent storage with sufficient detail to guide the administrator and to assist support staff in locating and rectifying the error.,FR
" Software errors logged to permanent storage shall include the absolute time of occurrence, the name of the software module in which the error occurred, the name of the software function in which the error occurred, and a description of the error.",FR
"The user interface shall consist of six windows: Main window, configuration window, subsystems window, condition window, diagnostic information window, and diagnostic history window.",FR
The main window shall list buildings monitored and summarizing the current diagnostic status of all contained monitored units.,FR
The main window shall have main menus entitled File and Status.,FR
"The File menu shall offer Configure Diagnostics, Logout, and Exit in that order.",FR
The system shall offer a Status main menu with Start Diagnostics and Stop Diagnostics in that order.,FR
The menu items named Configure Diagnostics and Exit in the main menu entitled File shall be enabled at all times,FR
The system shall only enable the Logout menu item in the File menu if the current user is authenticated as the administrator.,FR
"The Start Diagnostics menu item in the Status menu shall be enabled only when diagnostics aren't running, otherwise, it shall be disabled.",FR
The Stop Diagnostics menu item in the Status menu shall be enabled only when diagnostics are running and disabled otherwise.,FR
"Selecting Configure Diagnostics from the File menu shall open the configuration window modally, making it the active window in front of the main window.",FR
The configuration window shall have a button labeled Save that when clicked will present the user with a window by which to enter a disk file or database name in which to save the modifiable data in the window.,FR
The configuration window shall have a button labeled Close that will dismiss the configuration window and return the user to the main window.,FR
The configuration window shall have a button labeled Recall that will permit the user to recall a disk file of previously saved parameters from which to populate the configuration window.,FR
The subsystems window shall list subsystems monitored for a specific building and summarizing the current diagnostic status of all monitored subsystems.,FR
"The diagnostic information window shall have a button labeled Print that when clicked will display a window listing items to print including the diagnostic information window, the history window, and both the diagnostic and history windows.",FR
"The diagnostic information window shall have a button labeled Close that shall dismiss the window.
",FR
The diagnostic information window shall have a button labeled History that when clicked will display the diagnostic history window and display the previous weeks diagnostic results. ,FR
The diagnostic history window shall display historical diagnostic results for a specific diagnostic.,FR
The diagnostic history window shall provide user selections for start times and end times for the history interval. ,FR
The diagnostic history window shall display data in intervals of one week or greater.,FR
The diagnostic history window shall display a maximum time interval of two years.,FR
"The color map of the history window shall indicate confirmed faults with the color red,potential faults with the color yellow, normal conditions with the color green, and periods when diagnostic processing was not active with the color gray.",FR
The vertical axis of the color map of the history window shall indicate hour of the day and the horizontal axis shall indicate the absolute date and the day of week.,FR
"The diagnostic history window shall have a button labeled Print that when clicked will display a window listing items to print including the diagnostic information window, the history window, and both the diagnostic and history windows.",FR
"The diagnostic history window shall have a button labeled Close that will dismiss the window.
",FR
"The subsystems window, condition window, and diagnostic information window shall display a title that indicates its specific location or absolute path in the navigation hierarchy of windows",FR
"The main window, subsystems window, and condition window shall have three diagnostic indicators for each item listed.",FR
"An OK indicator, appearing green, shall signify the absence of any diagnostic conditions.",FR
A yellow Caution indicator will be used to signify potential diagnostic issues.,FR
A red Not OK indicator will be active to signify a confirmed diagnostic condition.,FR
Only one indicator shall be active at a given time for a specific diagnostic and no indicators shall flash when active.,FR
The diagnostic indicators on the main window and subsystems window shall summarize all diagnostic conditions associated with each entry in the window.,FR
The tool shall keep a permanent record of any modifications made to fixed data.,FR
"The log shall indicate the time and date of the change, original value of the item(s) hanged, and the new value of the item(s)",FR
The game shall only display the current block positions and not positions from canceled movements.,FR
The system must allow a member of the network to send requests to a particular or all the other members about possible delivery of a driver's smart card to a similar person.,FR
"The system shall allow a member of the network to send a bulk request on all or a large part of its driver's smart card holders to a particular or all members of the network.
",FR
The system shall allow a member to do statistics on messages  issued and received from/to his system,FR
The system shall provide automatic reply to the sender of the request through the use of a standard interface to the Members systems,FR
The system shall track the workflow between senders and related  replies.,FR
"The system shall be able, in accordance with the rules on delays for each transaction, to automatically transmit alert messages to senders/replier/administrator when, f.i. a onstraint on delay for reply is not fulfilled.
",FR
"The system shall allow the administrator to extract statistics of use, standard delay of reply by member/period, percentage of unsuccessful transaction.",FR
The system shall provide the management of user rights and  permissions,FR
"The system shall be able to define and manage various type of messages already in the drivers smart card holder like predelivery check, stolen/lost cards, renewals, exchanges and duplicates",FR
The system shall be able to include new members in the network through simple administrative tasks.,FR
The system shall be highly automatic to relieve the users of as many repetitive and tedious tasks as possible.,NFR
"The system shall allow a Member State to ask for the status of card (lost, stolen) to the corresponding Card Issuing Authority of the ember State having issued the card.",FR
The system shall facilitate law enforcement inquiries about driver's license status with issuing authorities by driver information or card details.,FR
The system shall guide users through an interface based on end user concepts.,NFR
The system shall be easy to learn and does not obstruct the thematic understanding of the users.,NFR
"The system shall make it easy to correct mistakes.
",NFR
"The system shall function reliably, with few or no interruptions in its first operational year and fewer still thereafter.",NFR
The system shall give stable and reproducible results.,NFR
There will be no restriction in time or place for the use of the software built from the specifications produced under this contract.,NFR
The system shall be able to establish and keep the dialog with the Members systems despite the various technical environments and technologies used on their sites,NFR
The system will be designed so that background tasks can continue while the user performs foreground tasks.,NFR
The system shall deliver rapid responses to user requests under 24/7 operation for both internal and enforcement authority use (acceptable response time < 1 minute).,NFR
The client will send a GET request to the Web API with the question as a URL parameter.,FR
The client will specify the header Content-Type: application/json in their requests as convention.,FR
"An API query shall be a single URL parameter formulated as a single, clear question in standard English.",FR
The client will be able to parse the JSON and determine if there was an error.,FR
The server will send all API data in JSON response documents with the header Content-Type: application/json.,FR
The server will respond with a 200 OK status code if a request has the header Content-Type: application/json and is a valid API query.,FR
The server will respond with a 400 Bad Request status code if request does not specify the header Content-Type: application/json OR is a malformed API query.,FR
This unit will receive a text string from the URL parameter.,FR
"This unit will output the sentence as a string,",FR
The information extraction unit shall populate the database before system startup to ensure immediate data accessibility.,FR
"Text box will originally contain a suggestive text question, to guide the user to the format of an appropriate question.",FR
